rnk	team	 rating 	  record  	  SOS: rank  	  top 25  wins	  top 50  wins	 best game
1. 	Clemson    	0.963932	12-1	0.612229: 13	4	9	W: #10 Miami (FL)
2. 	Georgia    	0.961722	12-1	0.609680: 16	2	5	W: #9 Notre Dame
3. 	UCF    	0.952908	12-0	0.528393: 67	2	5	W: #14 Memphis
4. 	Wisconsin    	0.920808	12-1	0.562470: 34	2	4	W: #17 Northwestern
5. 	Alabama    	0.903063	11-1	0.553574: 41	1	5	W: #20 LSU
6. 	Ohio State    	0.900486	11-2	0.615945: 12	4	5	W: #4 Wisconsin
7. 	Oklahoma    	0.886396	12-1	0.522764: 69	3	4	W: #6 Ohio St
8. 	USC    	0.875859	11-2	0.587530: 23	2	4	W: #16 Stanford
9. 	Notre Dame    	0.872423	9-3	0.684494: 1	3	6	W: #8 USC
10. 	Miami (Florida)    	0.868498	10-2	0.596580: 21	3	4	W: #9 Notre Dame
11. 	Penn State    	0.864910	10-2	0.592395: 22	2	3	W: #17 Northwestern
12. 	Auburn    	0.835916	10-3	0.618365: 9	2	4	W: #2 Georgia
13. 	Michigan State    	0.814323	9-3	0.616710: 10	2	3	W: #11 Penn St
14. 	Memphis    	0.799731	10-2	0.516352: 72	0	4	W: #39 Navy
15. 	Washington    	0.793308	10-2	0.508859: 75	1	4	W: #21 Washington St
16. 	Stanford    	0.772850	9-4	0.622519: 7	2	5	W: #9 Notre Dame
17. 	Northwestern    	0.759711	9-3	0.552996: 43	1	2	W: #13 Michigan St
18. 	Virginia Tech    	0.754391	9-3	0.546790: 51	0	1	W: #31 Boston Coll
19. 	TCU    	0.752230	10-3	0.521804: 70	0	2	W: #29 Oklahoma St
20. 	LSU    	0.750195	9-3	0.541894: 57	1	2	W: #12 Auburn
21. 	Washington State    	0.748113	9-3	0.539465: 61	3	4	W: #8 USC
22. 	Toledo    	0.738015	11-2	0.428479: 101	0	1	W: #50 Northern Illinois
23. 	North Carolina State    	0.735179	8-4	0.607709: 17	0	3	W: #31 Boston Coll
24. 	Boise State    	0.733551	10-3	0.500252: 81	0	3	W: #26 San Diego St
25. 	Michigan    	0.730793	8-4	0.602592: 18	0	0	W: #53 Purdue
26. 	San Diego State    	0.724156	10-2	0.428182: 102	1	3	W: #16 Stanford
27. 	Florida Atlantic    	0.718613	10-3	0.483016: 85	0	2	W: #44 North Texas
28. 	South Carolina    	0.713098	8-4	0.581948: 27	1	1	W: #23 NC State
29. 	Oklahoma State    	0.699125	9-3	0.482313: 86	0	1	W: #46 Iowa St
30. 	Iowa    	0.696223	7-5	0.645594: 3	1	3	W: #6 Ohio St
31. 	Boston College    	0.696031	7-5	0.645369: 4	0	3	W: #34 Louisville
32. 	Mississippi State    	0.692666	8-4	0.558111: 39	1	3	W: #20 LSU
33. 	South Florida    	0.690329	9-2	0.406752: 115	0	0	W: #67 Temple
34. 	Louisville    	0.680168	8-4	0.543529: 56	0	2	W: #42 Kentucky
35. 	Troy    	0.661490	10-2	0.355072: 128	1	1	W: #20 LSU
36. 	Wake Forest    	0.654510	7-5	0.596928: 20	1	3	W: #23 NC State
37. 	Arizona State    	0.643395	7-5	0.583960: 26	1	2	W: #15 Washington
38. 	Texas A&M    	0.629139	7-5	0.567328: 31	0	1	W: #28 South Carolina
