rnk	team	 rating 	  record  	  SOS: rank  	  top 25  wins	  top 50  wins	 best game
77. 	Indiana    	0.502573	5-7	0.586335: 17	0	0	W: #56 Virginia
78. 	East Michigan    	0.501679	7-5	0.418625: 121	0	0	W: #51 Purdue
79. 	Maryland    	0.497894	5-7	0.580877: 22	1	1	W: #25 Texas
80. 	Tulane    	0.495466	6-6	0.494710: 69	0	0	W: #60 Memphis
81. 	Toledo    	0.494308	7-5	0.410026: 124	0	0	W: #75 W Michigan
82. 	Miami (OH)    	0.492389	6-6	0.491120: 76	0	1	W: #48 Northern Illinois
83. 	USC    	0.490306	5-7	0.572024: 27	1	1	W: #11 Washington St
84. 	Mississippi    	0.476468	5-7	0.555879: 41	0	0	W: #85 LA Monroe
85. 	Louisiana Monroe    	0.467408	6-6	0.461975: 90	0	1	W: #31 Georgia Southern
86. 	Texas Tech    	0.465042	5-7	0.542548: 46	0	0	W: #61 TCU
87. 	Kansas St    	0.464385	5-7	0.541783: 47	0	0	W: #63 Oklahoma St
88. 	Louisiana Tech    	0.463562	7-5	0.374156: 136	0	0	W: #58 North Texas
89. 	Wyoming    	0.459485	6-6	0.452733: 97	0	0	W: #99 Air Force
90. 	Southern Miss    	0.443430	6-5	0.387690: 129	0	0	W: #57 Marshall
91. 	Coastal Carolina    	0.435186	5-7	0.507717: 66	0	1	W: #38 UAB
92. 	Nebraska    	0.427030	4-8	0.581536: 21	0	1	W: #41 Michigan St
93. 	SMU    	0.422338	5-7	0.492727: 72	0	0	W: #65 Houston
94. 	Arizona    	0.422154	5-7	0.492513: 73	0	1	W: #42 Oregon
95. 	Colorado    	0.413857	5-7	0.482833: 81	0	1	W: #49 Arizona St
96. 	Florida Atlantic    	0.413204	5-7	0.482071: 82	0	0	W: #74 Florida Intl
97. 	UCLA    	0.406877	3-9	0.641356: 1	0	0	W: #59 California
98. 	Liberty    	0.396437	6-6	0.379176: 132	0	1	W: #34 Troy
99. 	Air Force    	0.372183	5-7	0.434213: 113	0	0	W: #103 Navy
100. 	Charlotte    	0.371737	5-7	0.433693: 114	0	0	W: #90 Southern Miss
101. 	Massachusetts    	0.338219	4-8	0.477922: 84	0	0	W: #98 Liberty
102. 	Illinois    	0.336545	4-8	0.475969: 87	0	0	W: #62 Minnesota
103. 	Navy    	0.320562	3-9	0.540656: 49	0	0	W: #60 Memphis
104. 	Akron    	0.316670	4-8	0.452782: 96	0	1	W: #29 Northwestern
105. 	Louisville    	0.316160	2-10	0.618854: 8	0	0	W: #126 West Kentucky
106. 	Ball St    	0.313393	4-8	0.448959: 100	0	0	W: #75 W Michigan
107. 	Kansas    	0.293643	3-9	0.509251: 65	0	0	W: #61 TCU
108. 	UNLV    	0.287442	4-8	0.418682: 120	0	0	W: #66 San Diego St
